"""Valid taxon",NA,NA,"""""absolute fecundity (no. oocytes)""""",NA,NA,acid_tol,"""""body length (cm)""""",NA,NA,"""""climate change affected species according to <a href=""""""""http://www.climate-and-freshwater.info"""""""" target=""""""""_blank"""""""">www.climate-and-freshwater.info</a> (caf)""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""""egg diameter (mm)""""",NA,NA,"""""feeding diet (adult)""""","""""feeding habitat""""","""""female maturity (years)""""",NA,NA,NA,NA,habitat,NA,NA,"""""habitat (fiBS)""""",NA,NA,"""""habitat degradation tolerance""""","""""HD threat""""","""""incubation period (days)""""",NA,NA,"""""larval length (cm)""""",NA,NA,"""""larval stage duration (days)""""",NA,NA,"""""length weight regression""""","""""life span (years)""""",NA,NA,migration,"""""migration (fiBS)""""",NA,NA,NA,"""""oxygen tolerance""""","""""parental care""""","""""relative fecundity (no. oocytes/g)""""",NA,NA,"""""reproduction (fiBS)""""",NA,NA,NA,NA,NA,NA,NA,NA,"""""reproduction habitat""""","""""reproductive behaviour""""","""""rheophily (habitat)""""",salinity,NA,NA,NA,NA,"""""shape factor""""",NA,NA,NA,"""""spawning habitat""""","""""spawning time""""",NA,"""""swimming factor""""",NA,NA,"""""temperature tolerance""""","""""toxicity tolerance""""","""""trophy (fiBS)""""",NA,NA,NA,NA,NA,NA,"""""water quality tolerance – general""""","""""Imported file""""",""",,"
Chondrostoma,nasus,234,0,1,0,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,omni,ben,0,0,0,0,1,0,1,0,0,1,0,intol,NA,0,1,0,NA,NA,NA,NA,NA,NA,"0,00004*(x^2,""8721)",0,0,1,pot,0,1,0,potamo,intol,no,1,0,0,1,0,0,0,0,0,0,0,0,lith,sin,"""""rheo A""""",1,0,0,0,0,0,1,0,0,rheo,1,0,1,0,0,eury,intol,0,1,0,0,0,0,0,intol,Chondrostoma,"nasus"""
Chondrostoma,soetta,332,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,0,0,1,0,0,0,1,0,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,rheo,1,0,0,0,0,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Chondrostoma,"soetta,,"
Ctenopharyngodon,idella,240,0,0,1,im,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,phyto,wc,0,0,0,0,1,0,0,1,NA,NA,NA,tol,NA,1,0,0,0,1,0,NA,NA,NA,"0,000007*(x^2,9989)",0,0,1,pot,NA,NA,NA,NA,im,no,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,pel,sin,eury,1,0,0,0,0,0,0,1,0,rheo,1,0,0,1,0,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Ctenopharyngodon,idella
Cyprinus,carpio,241,0,0,1,tol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,0,0,1,0,0,0,1,0,1,0,0,tol,NA,1,0,0,0,1,0,1,0,0,NA,0,0,1,pot,1,0,0,NA,tol,no,0,1,0,0,0,0,1,0,0,0,0,0,phy,sin,eury,0,1,0,0,0,1,0,0,0,limno,0,1,0,1,0,eury,tol,0,0,0,0,1,0,0,tol,Cyprinus,"carpio,,"
"""Gobio",gobio,247,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,invert,ben,1,0,0,0,0,0,1,0,0,1,0,tol,NA,0,0,1,0,1,0,NA,NA,NA,NA,1,0,0,pot,1,0,0,NA,intol,no,0,0,1,0,0,0,0,0,1,0,0,0,psam,fra,"""""rheo A""""",0,1,0,0,0,0,0,1,0,rheo,0,1,1,0,0,eury,im,0,0,0,1,0,0,0,im,Gobio,"gobio"",,"
Gobio,obtusirostris,887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gobio,"obtusirostris,,"
Hypophthalmichthys,molitrix,249,1,0,0,im,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phyto,wc,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,tol,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,pot,NA,NA,NA,NA,im,no,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,pel,fra,eury,0,1,0,0,0,1,0,0,0,rheo,1,0,0,1,0,eury,im,NA,NA,NA,NA,NA,NA,NA,tol,Hypophthalmichthys,"molitrix,,"
Hypophthalmichthys,nobilis,250,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,phyto,wc,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pot,NA,NA,NA,NA,NA,no,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,pel,NA,eury,1,0,0,0,0,1,0,0,0,rheo,1,0,0,1,0,eury,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hypophthalmichthys,"nobilis,,"
Leucaspius,delineatus,255,1,0,0,im,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,wc,1,0,0,0,0,1,0,0,0,0,1,im,NA,1,0,0,0,1,0,0,1,0,"0,000007*(x^3,072)",1,0,0,pot,1,0,0,NA,im,prot,0,0,1,0,0,0,1,0,0,0,0,0,phy,fra,limno,0,1,0,0,0,0,0,1,0,limno,0,1,1,0,0,eury,im,0,0,0,0,1,0,0,tol,Leucaspius,delineatus
Leuciscus,burdigalensis,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuciscus,"burdigalensis,,"
Leuciscus,idus,257,0,0,1,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,omni,wc,0,0,0,1,0,0,1,0,0,1,0,im,NA,0,0,1,0,1,0,NA,NA,NA,"0,00002*(x^2,""8811)",0,1,0,pot,1,0,0,NA,im,no,0,0,1,0,0,0,0,1,0,0,0,0,phylith,sin,"""""rheo B""""",0,1,0,0,0,1,0,0,0,eury,1,0,0,1,0,eury,im,0,0,0,0,1,0,0,im,Leuciscus,"idus"""
"""Leuciscus",leuciscus,258,0,1,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,wc,0,1,0,0,0,0,1,0,0,1,0,im,NA,0,0,1,0,0,1,1,0,0,NA,0,1,0,nom,1,0,0,NA,im,no,0,1,0,1,0,0,0,0,0,0,0,0,phylith,sin,"""""rheo A""""",0,1,0,0,0,0,1,0,0,rheo,1,0,0,1,0,eury,im,0,0,0,0,1,0,0,im,Leuciscus,"leuciscus"",,"
Parachondrostoma,toxostoma,235,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,ben,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,pot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,1,0,0,0,0,0,1,0,0,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parachondrostoma,"toxostoma,,"
"""Pelecus",cultratus,401,1,0,0,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,planct,wc,0,0,1,0,0,1,0,0,1,0,0,im,"""""II V""""",1,0,0,NA,NA,NA,NA,NA,NA,"0"",00002*(x^2,8937)",0,1,0,dia,0,1,0,potamo,intol,no,NA,NA,NA,0,0,1,0,0,0,0,0,0,pel,sin,limno,0,1,0,0,0,NA,NA,NA,NA,limno,1,0,NA,NA,NA,eury,NA,0,0,0,1,0,0,0,im,Pelecus,cultratus
Petroleuciscus,borysthenicus,403,1,0,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limno,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Petroleuciscus,"borysthenicus,,"
Phoxinus,phoxinus,272,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,invert,wc,0,1,0,0,0,0,0,1,0,1,0,intol,NA,0,1,0,1,0,0,NA,NA,NA,"0,0003*(x^2,4107)",1,0,0,pot,1,0,0,NA,intol,no,0,0,1,1,0,0,0,0,0,0,0,0,lith,fra,eury,0,1,0,0,0,0,0,1,0,eury,0,1,1,0,0,steno,im,0,0,0,1,0,0,0,im,Phoxinus,phoxinus
Phoxinus,septimaniae,952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phoxinus,"septimaniae,,"
Pimephales,promelas,273,1,0,0,tol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,1,0,0,0,0,0,0,1,NA,NA,NA,tol,NA,1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,tol,prot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fra,limno,1,0,0,0,0,1,0,0,0,limno,1,0,0,0,1,eury,NA,NA,NA,NA,NA,NA,NA,NA,tol,Pimephales,"promelas,,"
Protochondrostoma,genei,331,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Protochondrostoma,"genei,,"
Pseudorasbora,parva,278,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,wc,1,0,0,0,0,0,1,0,1,0,0,tol,NA,0,1,0,0,1,0,NA,NA,NA,"0,00002*(x^2,8006)",1,0,0,nom,1,0,0,NA,tol,prot,1,0,0,0,0,0,0,1,0,0,0,0,phylith,fra,eury,1,0,0,0,0,0,0,1,0,eury,0,1,0,1,0,eury,tol,0,0,0,0,1,0,0,tol,Pseudorasbora,parva
Rhodeus,amarus,353,1,0,0,im,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omni,wc,0,0,1,0,0,0,1,0,1,0,0,intol,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00002*(x^2,908)",1,0,0,nom,1,0,0,NA,im,prot,NA,NA,NA,0,0,0,0,0,0,1,0,0,ostra,fra,limno,1,0,0,0,0,NA,NA,NA,NA,limno,1,0,NA,NA,NA,eury,intol,0,0,0,0,1,0,0,intol,Rhodeus,amarus
Rhynchocypris,percnurus,969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhynchocypris,"percnurus,,"
Romanogobio,albipinnatus,246,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,NA,rheo,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,NA,NA,0,0,0,1,0,0,0,NA,Romanogobio,"albipinnatus,,"
Romanogobio,belingi,973,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fra,rheo,NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,im,Romanogobio,"belingi,,"
Romanogobio,kesslerii,977,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,NA,1,0,0,0,0,0,1,0,NA,NA,NA,NA,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,NA,rheo,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,NA,Romanogobio,"kesslerii,,"
"""Romanogobio",uranoscopus,388,NA,NA,NA,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,1,0,0,0,0,0,1,0,0,1,0,NA,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,nom,1,0,0,NA,intol,no,NA,NA,NA,1,0,0,0,0,0,0,0,0,lith,NA,"""""rheo A""""",1,0,0,0,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,NA,0,0,0,1,0,0,0,im,Romanogobio,"uranoscopus"",,"
Romanogobio,vladykovi,981,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,im,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00004*(x^2,""8437)",NA,NA,NA,NA,NA,NA,NA,NA,intol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,fra,"""""rheo A""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,im,Romanogobio,"vladykovi"""
"""Rutilus",meidingeri,983,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omni,wc,0,0,0,1,0,0,1,0,0,1,0,NA,"""""II V""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,pot,0,1,0,potamo,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,lith,NA,"""""rheo B""""",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eury,NA,0,0,0,1,0,0,0,NA,Rutilus,"meidingeri"",,"
"""Rutilus",pigus,343,1,0,0,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omni,ben,0,1,0,0,0,0,1,0,NA,NA,NA,im,"""""II V""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,nom,NA,NA,NA,NA,intol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,sin,"""""rheo A""""",1,0,0,0,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,tol,NA,NA,NA,NA,NA,NA,NA,im,Rutilus,"pigus"",,"
Rutilus,rutilus,281,0,1,0,im,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,wc,0,0,0,1,0,0,1,0,1,0,0,tol,NA,0,1,0,0,1,0,NA,NA,NA,NA,0,0,1,pot,1,0,0,NA,tol,no,0,0,1,0,0,0,0,1,0,0,0,0,phylith,sin,eury,0,1,0,0,0,1,0,0,0,eury,1,0,1,0,0,eury,tol,0,0,0,0,1,0,0,tol,Rutilus,"rutilus,,"
Rutilus,virgo,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,Rutilus,"virgo,,"
Scardinius,erythrophthalmus,291,0,0,1,tol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,wc,0,1,0,0,0,0,1,0,0,0,1,im,NA,0,1,0,0,1,0,NA,NA,NA,NA,0,0,1,pot,1,0,0,NA,tol,no,0,0,1,0,0,0,1,0,0,0,0,0,phy,fra,limno,0,1,0,0,0,1,0,0,0,limno,1,0,0,1,0,eury,im,0,0,0,0,1,0,0,tol,Scardinius,"erythrophthalmus,,"
Scardinius,hesperidicus,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scardinius,"hesperidicus,,"
Squalius,cephalus,256,0,1,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,wc,0,0,1,0,0,0,1,0,0,1,0,NA,NA,1,0,0,0,0,1,0,1,0,NA,0,1,0,pot,1,0,0,NA,im,no,1,0,0,1,0,0,0,0,0,0,0,0,lith,NA,eury,0,1,0,0,0,0,1,0,0,rheo,0,1,0,1,0,eury,im,0,0,0,0,1,0,0,tol,Squalius,"cephalus,,"
Squalius,squalus,1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Squalius,"squalus,,"
"""Telestes",souffia,259,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,wc,0,0,1,0,0,0,1,0,0,1,0,NA,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom,1,0,0,NA,intol,no,0,1,0,1,0,0,0,0,0,0,0,0,lith,NA,"""""rheo A""""",1,0,0,0,0,0,0,1,0,rheo,1,0,1,0,0,steno,im,0,0,0,1,0,0,0,intol,Telestes,"souffia"",,"
Tinca,tinca,294,0,0,1,tol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,ben,0,0,1,0,0,0,0,1,0,0,1,intol,NA,1,0,0,0,1,0,1,0,0,NA,0,0,1,pot,1,0,0,NA,tol,no,0,1,0,0,0,0,1,0,0,0,0,0,phy,fra,limno,0,1,0,0,0,1,0,0,0,limno,1,0,0,0,1,eury,tol,0,0,0,0,1,0,0,tol,Tinca,"tinca,,"
"""Vimba",vimba,296,0,0,1,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,0,0,0,1,0,0,1,0,0,1,0,intol,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,dia,1,0,0,NA,im,no,0,1,0,1,0,0,0,0,0,0,0,0,lith,fra,"""""rheo B""""",0,1,0,0,0,1,0,0,0,rheo,1,0,0,1,0,eury,im,0,0,0,1,0,0,0,im,Vimba,"vimba"",,"
"""Barbatula",barbatula,226,0,1,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,invert,ben,1,0,0,0,0,0,0,1,0,1,0,im,NA,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,pot,1,0,0,NA,im,no,0,0,1,0,0,0,0,0,1,0,0,0,psam,fra,"""""rheo A""""",1,0,0,0,0,0,0,0,1,eury,1,0,0,0,1,eury,im,0,0,0,1,0,0,0,im,Barbatula,"barbatula"",,"
Aphanius,fasciatus,300,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,wc,1,0,0,0,0,0,0,1,NA,NA,NA,im,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,nom,NA,NA,NA,NA,tol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pro,limno,0,0,0,1,0,NA,NA,NA,NA,limno,1,0,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Aphanius,"fasciatus,,"
Gambusia,affinis,244,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,invert,wc,1,0,0,0,0,0,1,0,NA,NA,NA,tol,NA,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,pot,NA,NA,NA,NA,tol,prot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pro,limno,0,1,0,0,0,0,1,0,0,limno,0,1,0,0,1,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Gambusia,"affinis,,"
"""Gambusia",holbrooki,873,NA,NA,NA,tol,1,0,0,0,0,1,0,0,0,0,0,0,"""""increased water temperaure""""",winner,NA,NA,NA,invert,wc,1,0,0,0,0,0,1,0,NA,NA,NA,tol,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,pot,NA,NA,NA,NA,tol,prot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pro,limno,0,1,0,0,0,NA,NA,NA,NA,limno,0,1,NA,NA,NA,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Gambusia,"holbrooki"",,"
Poecilia,reticulata,276,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,wc,1,0,0,0,0,0,1,0,NA,NA,NA,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eury,0,1,0,0,0,0,0,1,0,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poecilia,"reticulata,,"
"""Esox",lucius,243,0,0,1,tol,0,0,1,1,1,0,1,1,0,0,0,0,"""""increased water temperature """"",loser,0,0,1,pisci,wc,0,0,1,0,0,0,0,1,1,0,0,tol,NA,0,1,0,0,0,1,0,1,0,NA,0,0,1,pot,1,0,0,NA,im,no,1,0,0,0,0,0,1,0,0,0,0,0,phy,sin,eury,0,1,0,0,0,0,0,0,1,limno,1,0,0,1,0,eury,im,0,0,0,0,0,1,0,im,Esox,"lucius"",,"
Umbra,krameri,414,1,0,0,tol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,1,0,0,0,0,0,1,0,NA,NA,NA,intol,II,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,nom,NA,NA,NA,NA,tol,prot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phy,sin,limno,1,0,0,0,0,NA,NA,NA,NA,limno,1,0,NA,NA,NA,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Umbra,"krameri,,"
Umbra,pygmaea,295,NA,NA,NA,tol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,invert,ben,1,0,0,0,0,0,0,1,NA,NA,NA,tol,NA,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,nom,NA,NA,NA,NA,tol,prot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,limno,1,0,0,0,0,0,0,1,0,limno,NA,NA,0,0,1,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Umbra,"pygmaea,,"
Lota,lota,262,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,pisci,ben,0,0,0,1,0,0,0,1,0,1,0,im,NA,0,0,1,1,0,0,NA,NA,NA,NA,0,0,1,pot,0,1,0,potamo,intol,no,0,0,1,0,1,0,0,0,0,0,0,0,lithpel,sin,eury,0,1,0,0,0,0,0,0,1,eury,1,0,NA,NA,NA,steno,im,0,0,1,0,0,0,0,im,Lota,"lota,,"
